YYYY-MM-DD,hh:mm,Original,Calculated,Flag
1936-10-01,--:--,-999,0.065,100
1936-11-01,--:--,-999,0.068,100
1936-12-01,--:--,-999,2.647,100
1937-01-01,--:--,-999,3.763,100
1937-02-01,--:--,-999,28.375,100
1937-03-01,--:--,-999,16.581,100
1937-04-01,--:--,-999,4.04,100
1937-05-01,--:--,-999,0.979,100
1937-06-01,--:--,-999,0.319,100
1937-07-01,--:--,-999,0.013,100
1937-08-01,--:--,-999,0.011,100
1937-09-01,--:--,-999,0,100
1937-10-01,--:--,-999,0.018,100
1937-11-01,--:--,-999,0.02,100
1937-12-01,--:--,-999,0.315,100
1938-01-01,--:--,-999,0.501,100
1938-02-01,--:--,-999,2.667,100
1938-03-01,--:--,-999,48.984,100
1938-04-01,--:--,-999,2.541,100
1938-05-01,--:--,-999,1.234,100
1938-06-01,--:--,-999,0.243,100
1938-07-01,--:--,-999,0.014,100
1938-08-01,--:--,-999,0,100
1938-09-01,--:--,-999,0,100
1938-10-01,--:--,-999,0,100
1938-11-01,--:--,-999,0.075,100
1938-12-01,--:--,-999,2.04,100
1939-01-01,--:--,-999,1.71,100
1939-02-01,--:--,-999,3.976,100
1939-03-01,--:--,-999,1.63,100
1939-04-01,--:--,-999,0.941,100
1939-05-01,--:--,-999,0.22,100
1939-06-01,--:--,-999,0.002,100
1939-07-01,--:--,-999,0,100
1939-08-01,--:--,-999,0,100
1939-09-01,--:--,-999,0.382,100
1939-10-01,--:--,-999,0.138,100
1939-11-01,--:--,-999,0.21,100
1939-12-01,--:--,-999,0.294,100
1940-01-01,--:--,-999,3.227,100
1940-02-01,--:--,-999,4.687,100
1940-03-01,--:--,-999,0.885,100
1940-04-01,--:--,-999,1.016,100
1940-05-01,--:--,-999,0.157,100
1940-06-01,--:--,-999,0,100
1940-07-01,--:--,-999,0,100
1940-08-01,--:--,-999,0,100
1940-09-01,--:--,-999,0,100
1940-10-01,--:--,-999,0,100
1940-11-01,--:--,-999,0,100
1940-12-01,--:--,-999,3.995,100
1941-01-01,--:--,-999,1.251,100
1941-02-01,--:--,-999,8.627,100
1941-03-01,--:--,-999,24.67,100
1941-04-01,--:--,-999,13.159,100
1941-05-01,--:--,-999,2.846,100
1941-06-01,--:--,-999,0.813,100
1941-07-01,--:--,-999,0.072,100
1941-08-01,--:--,-999,0.002,100
1941-09-01,--:--,-999,0,100
1941-10-01,--:--,-999,0.376,100
1941-11-01,--:--,-999,0.623,100
1941-12-01,--:--,-999,1.383,100
1942-01-01,--:--,-999,1.617,100
1942-02-01,--:--,-999,1.287,100
1942-03-01,--:--,-999,1.387,100
1942-04-01,--:--,-999,0.976,100
1942-05-01,--:--,-999,0.289,100
1942-06-01,--:--,-999,0.04,100
1942-07-01,--:--,-999,0,100
1942-08-01,--:--,-999,0,100
1942-09-01,--:--,-999,0,100
1942-10-01,--:--,-999,0,100
1942-11-01,--:--,-999,0.017,100
1942-12-01,--:--,-999,0.249,100
1943-01-01,--:--,-999,15.059,100
1943-02-01,--:--,-999,6.783,100
1943-03-01,--:--,-999,10.211,100
1943-04-01,--:--,-999,2.045,100
1943-05-01,--:--,-999,0.488,100
1943-06-01,--:--,-999,0.079,100
1943-07-01,--:--,-999,0,100
1943-08-01,--:--,-999,0,100
1943-09-01,--:--,-999,0,100
1943-10-01,--:--,-999,0,100
1943-11-01,--:--,-999,0,100
1943-12-01,--:--,-999,1.511,100
1944-01-01,--:--,-999,0.805,100
