01/03/1938,-999,48.984,100
01/04/1938,-999,2.541,100
01/05/1938,-999,1.234,100
01/06/1938,-999,0.243,100
01/07/1938,-999,0.014,100
01/08/1938,-999,0,100
01/09/1938,-999,0,100
01/10/1938,-999,0,100
01/11/1938,-999,0.075,100
01/12/1938,-999,2.04,100
01/01/1939,-999,1.71,100
01/02/1939,-999,3.976,100
01/03/1939,-999,1.63,100
01/04/1939,-999,0.941,100
01/05/1939,-999,0.22,100
01/06/1939,-999,0.002,100
01/07/1939,-999,0,100
01/08/1939,-999,0,100
01/09/1939,-999,0.382,100
01/10/1939,-999,0.138,100
01/11/1939,-999,0.21,100
01/12/1939,-999,0.294,100
01/01/1940,-999,3.227,100
01/02/1940,-999,4.687,100
01/03/1940,-999,0.885,100
01/04/1940,-999,1.016,100
01/05/1940,-999,0.157,100
01/06/1940,-999,0,100
01/07/1940,-999,0,100
01/08/1940,-999,0,100
01/09/1940,-999,0,100
01/10/1940,-999,0,100
01/11/1940,-999,0,100
01/12/1940,-999,3.995,100
01/01/1941,-999,1.251,100
01/02/1941,-999,8.627,100
01/03/1941,-999,24.67,100
01/04/1941,-999,13.159,100
01/05/1941,-999,2.846,100
01/06/1941,-999,0.813,100
01/07/1941,-999,0.072,100
01/08/1941,-999,0.002,100
01/09/1941,-999,0,100
01/10/1941,-999,0.376,100
01/11/1941,-999,0.623,100
01/12/1941,-999,1.383,100
01/01/1942,-999,1.617,100
01/02/1942,-999,1.287,100
01/03/1942,-999,1.387,100
01/04/1942,-999,0.976,100
01/05/1942,-999,0.289,100
01/06/1942,-999,0.04,100
01/07/1942,-999,0,100
01/08/1942,-999,0,100
01/09/1942,-999,0,100
01/10/1942,-999,0,100
01/11/1942,-999,0.017,100
01/12/1942,-999,0.249,100
01/01/1943,-999,15.059,100
01/02/1943,-999,6.783,100
01/03/1943,-999,10.211,100
01/04/1943,-999,2.045,100
01/05/1943,-999,0.488,100
01/06/1943,-999,0.079,100
01/07/1943,-999,0,100
01/08/1943,-999,0,100
01/09/1943,-999,0,100
01/10/1943,-999,0,100
01/11/1943,-999,0,100
01/12/1943,-999,1.511,100
01/01/1944,-999,0.805,100
01/02/1944,-999,7.02,100
01/03/1944,-999,2.96,100
01/04/1944,-999,0.693,100
01/05/1944,-999,0.215,100
01/06/1944,-999,0.072,100
01/07/1944,-999,0,100
01/08/1944,-999,0,100
01/09/1944,-999,0,100
01/10/1944,-999,0,100
01/11/1944,-999,1.864,100
01/12/1944,-999,0.489,100
01/01/1945,-999,0.48,100
01/02/1945,-999,1.459,100
01/03/1945,-999,4.047,100
01/04/1945,-999,1.024,100
01/05/1945,-999,0.183,100
01/06/1945,-999,0.026,100
01/07/1945,-999,0,100
01/08/1945,-999,0,100
01/09/1945,-999,0,100
01/10/1945,-999,0,100
01/11/1945,-999,0,100
01/12/1945,-999,1.86,100
01/01/1946,-999,0.507,100
01/02/1946,-999,0.53,100
01/03/1946,-999,1.19,100
01/04/1946,-999,1.295,100
01/05/1946,-999,0.071,100
01/06/1946,-999,0,100
01/07/1946,-999,0.016,100
01/08/1946,-999,0,100
01/09/1946,-999,0,100
01/10/1946,-999,0,100
01/11/1946,-999,0.63,100
01/12/1946,-999,1.011,100
01/01/1947,-999,0.698,100
01/02/1947,-999,0.482,100
01/03/1947,-999,0.325,100
01/04/1947,-999,0.115,100
01/05/1947,-999,0.002,100
01/06/1947,-999,0,100
01/07/1947,-999,0,100
01/08/1947,-999,0,100
01/09/1947,-999,0,100
01/10/1947,-999,0,100
01/11/1947,-999,0,100
01/12/1947,-999,0,100
01/01/1948,-999,0,100
01/02/1948,-999,0.1,100
01/03/1948,-999,0.081,100
01/04/1948,-999,0.088,100
01/05/1948,-999,0,100
01/06/1948,-999,0,100
01/07/1948,-999,0,100
01/08/1948,-999,0,100
01/09/1948,-999,0,100
